lipid_variable,lipid_label,predictor,beta,std_error,t_value,p_value,display_predictor,lipid_display,is_diet,is_covariate,is_pca_component,model_label,n_obs,p_fdr,fdr_significant
triglycerides_mmol_L_log,log(Triglycerides),Intercept,0.30047085303628435,0.004244464157902425,70.79123344153157,0.0,Intercept,log(Triglycerides),False,False,False,diet_lasso_selection,10925,0.0,False
triglycerides_mmol_L_log,log(Triglycerides),diet_animal_fat_spread_lower_fat_24h,0.005266937329319795,0.00432402207166207,1.2180643951466434,0.2232260188576423,Animal fat spread lower fat 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.3080519060235464,False
triglycerides_mmol_L_log,log(Triglycerides),diet_animal_fat_spread_normal_24h,0.010849446239876777,0.004606224276520386,2.3553881853257517,0.018521084610555964,Animal fat spread normal 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.06389774190641807,False
triglycerides_mmol_L_log,log(Triglycerides),diet_added_sugars_and_preserves_24h,0.016708897363779583,0.004509363472431367,3.7053782570271383,0.00021212573690714004,Added sugars and preserves 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.0029273351693185324,True
triglycerides_mmol_L_log,log(Triglycerides),diet_allium_vegetables_24h,0.008514955577096361,0.004548967712641725,1.87184348515665,0.06125517229693015,Allium vegetables 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.12807899662085395,False
triglycerides_mmol_L_log,log(Triglycerides),diet_beef_24h,-0.005255907834812265,0.004465836890481853,-1.1769144202320307,0.23925551224193944,Beef 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.3114835914093174,False
triglycerides_mmol_L_log,log(Triglycerides),diet_beer_and_cider_24h,-0.004341385191774426,0.004544969164233677,-0.9552067428616807,0.3394944611507068,Beer and cider 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.4109669792876977,False
triglycerides_mmol_L_log,log(Triglycerides),diet_breaded_battered_chicken_24h,-0.017385938834022632,0.0043122127450982905,-4.031790605365029,5.573247044684e-05,Breaded/battered chicken 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.00096138511520799,True
triglycerides_mmol_L_log,log(Triglycerides),diet_breaded_battered_fish_24h,-0.012203094012576398,0.0043726545394234045,-2.790774780526235,0.005267398818229132,Breaded/battered fish 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.027957732189062317,True
triglycerides_mmol_L_log,log(Triglycerides),diet_mixed_bread_50_50_brown_and_seeded_24h,0.006090932738184651,0.00449369801875769,1.3554388196001934,0.17530603390668292,"Mixed bread (50/50), brown and seeded 24h",log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.2813050311525842,False
triglycerides_mmol_L_log,log(Triglycerides),diet_other_bread_24h,0.013697274285463525,0.004355499039637311,3.1448231674054314,0.0016663632073056782,Other bread 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.011497906130409179,True
triglycerides_mmol_L_log,log(Triglycerides),diet_white_bread_24h,0.015790159310532258,0.004675047108779329,3.3775401494628197,0.0007339462668805615,White bread 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.0063302865518448425,True
triglycerides_mmol_L_log,log(Triglycerides),diet_biscuit_cereal_24h,0.009332640242957501,0.0044857697785998275,2.0804991570188336,0.03750320502633315,Biscuit cereal 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.09584152395618471,False
triglycerides_mmol_L_log,log(Triglycerides),diet_bran_cereal_24h,0.005570623569184693,0.004418537287080746,1.260739291591474,0.20742993253900732,Bran cereal 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.30622802190846066,False
triglycerides_mmol_L_log,log(Triglycerides),diet_oat_cereal_non_sugar_24h,-0.010856721535570239,0.0045596448862590495,-2.3810454117354767,0.017280753473933215,Oat cereal (non sugar) 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.06389774190641807,False
triglycerides_mmol_L_log,log(Triglycerides),diet_oat_cereal_sugar_24h,0.010821957251166994,0.004307998411207131,2.512061569710423,0.01201722602687399,Oat cereal (sugar) 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.05527923972362035,False
triglycerides_mmol_L_log,log(Triglycerides),diet_other_cereal_sugar_24h,0.010114041812231933,0.004474907571651484,2.260167757721821,0.023830600882254506,Other cereal (sugar) 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.07474143003979823,False
triglycerides_mmol_L_log,log(Triglycerides),diet_chocolate_confectionery_24h,0.005694091720090068,0.004323591933495283,1.316981761386266,0.18787258269134208,Chocolate confectionery 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.29461836831142285,False
triglycerides_mmol_L_log,log(Triglycerides),diet_coffee_decaffeinated_24h,0.007822229365873004,0.004290663317438368,1.8230816046743719,0.0683185665364011,"Coffee, decaffeinated 24h",log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.13659548039335803,False
triglycerides_mmol_L_log,log(Triglycerides),diet_savoury_crackers_24h,-0.009238664937820627,0.004343741632714634,-2.1268909891509584,0.03345166518169596,Savoury crackers 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.08877557298219313,False
triglycerides_mmol_L_log,log(Triglycerides),diet_milk_dairy_desserts_24h,0.011820426925165564,0.004311863500805234,2.741373172633623,0.006128329064894947,Milk-dairy desserts 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.030203907534125093,True
triglycerides_mmol_L_log,log(Triglycerides),diet_other_desserts_and_cakes_and_pastries_24h,-0.003900675440859181,0.0043287814362413845,-0.9011024230056943,0.3675538878033451,Other desserts and cakes and pastries 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.4228491066612592,False
triglycerides_mmol_L_log,log(Triglycerides),diet_milk_based_and_powdered_drinks_24h,-0.005195035132914174,0.004392722148573111,-1.1826459669436817,0.23697543033437077,Milk-based and powdered drinks 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.3114835914093174,False
triglycerides_mmol_L_log,log(Triglycerides),diet_apples_and_pears_24h,-0.010867385858065643,0.004392579745583908,-2.474032684094398,0.013374947144377229,Apples and pears 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.0576794595601268,False
triglycerides_mmol_L_log,log(Triglycerides),diet_dried_fruit_24h,0.003623935949703074,0.004379466179486186,0.8274834879826032,0.40798129622699775,Dried fruit 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.43308783753327457,False
triglycerides_mmol_L_log,log(Triglycerides),diet_stewed_fruit_24h,0.00863872144985697,0.004318800296512951,2.000259529673547,0.0454971513973164,Stewed fruit 24h,log(Triglycerides),True,False,False,diet_lasso_selection,10925,0.11211798022910112,False
