lipid,lipid_label,cluster,cluster_name,beta,std_error,t_value,p_value,n_obs,n_in_cluster,r_squared,anova_f,anova_p,p_fdr,fdr_significant
triglycerides_mmol_L_log,log(Triglycerides),0,"Plant-based, Minimally-processed",0.0007671446205206505,0.008807071756541822,0.08710552630059153,0.9305892144826652,11044,5218,0.2208211361124235,152.0425946477531,1.4673257964748817e-66,0.9507114884781095,False
triglycerides_mmol_L_log,log(Triglycerides),1,"Plant-based, Ultra-processed",0.000608860680769977,0.009849765886806899,0.061814736285814166,0.9507114884781095,11044,3088,0.22082086995706507,152.0425946477531,1.4673257964748817e-66,0.9507114884781095,False
triglycerides_mmol_L_log,log(Triglycerides),2,"Plant-based, Minimally-processed",-0.0016133940406596785,0.009990019571548728,-0.16150058857287686,0.8717021068603253,11044,2738,0.22082244310784438,152.0425946477531,1.4673257964748817e-66,0.9507114884781095,False
total_cholesterol_mmol_L,Total Cholesterol,0,"Plant-based, Minimally-processed",-0.059123958261444155,0.01812582070814929,-3.261863791627503,0.0011101884343801636,11040,5217,0.23214435148147572,2.8242046281824074,0.059365214760146716,0.003996678363768589,True
total_cholesterol_mmol_L,Total Cholesterol,1,"Plant-based, Ultra-processed",0.06154102711326375,0.020273382795359604,3.035557890583013,0.002406514352835233,11040,3087,0.23204515074344845,2.8242046281824074,0.059365214760146716,0.0072195430585056996,True
total_cholesterol_mmol_L,Total Cholesterol,2,"Plant-based, Minimally-processed",0.012773719011772624,0.02057370427559393,0.6208759900824358,0.5346940582792648,11040,2736,0.23143000539716296,2.8242046281824074,0.059365214760146716,0.6416328699351177,False
hdl_cholesterol_mmol_L_log,log(HDL Cholesterol),0,"Plant-based, Minimally-processed",-0.016976069729537628,0.003957904056461212,-4.2891564543674265,1.8103826557029177e-05,10018,4723,0.4073917377824742,187.5015482805111,7.941704234205395e-82,8.14672195066313e-05,True
hdl_cholesterol_mmol_L_log,log(HDL Cholesterol),1,"Plant-based, Ultra-processed",0.03195121387044319,0.0044179167177282,7.23219017285443,5.101057631437452e-13,10018,2794,0.40939068139798673,187.5015482805111,7.941704234205395e-82,4.590951868293707e-12,True
hdl_cholesterol_mmol_L_log,log(HDL Cholesterol),2,"Plant-based, Minimally-processed",-0.010983204570789528,0.004480464131728959,-2.4513542007870592,0.014248972367581688,10018,2501,0.40665807179409796,187.5015482805111,7.941704234205395e-82,0.0320601878270588,True
ldl_cholesterol_mmol_L,LDL Cholesterol,0,"Plant-based, Minimally-processed",-0.030508240407474536,0.013794815245709531,-2.211572961585203,0.02701665311578631,11025,5209,0.23657893882511494,12.225878081328679,4.916483761919649e-06,0.05403330623157262,False
ldl_cholesterol_mmol_L,LDL Cholesterol,1,"Plant-based, Ultra-processed",0.013408389935090796,0.015431457086421645,0.8688997973424704,0.3849208857695776,11025,3082,0.2362920900074591,12.225878081328679,4.916483761919649e-06,0.4948982817037426,False
ldl_cholesterol_mmol_L,LDL Cholesterol,2,"Plant-based, Minimally-processed",0.02544777794728715,0.01564485219610944,1.6265911386248508,0.10385258788535673,11025,2734,0.23642325026558242,12.225878081328679,4.916483761919649e-06,0.16994059835785646,False
apolipoprotein_a_g_L_log,log(Apolipoprotein A),0,"Plant-based, Minimally-processed",-0.015196657919924016,0.0028624576613014126,-5.308954652979872,1.1263563721917207e-07,9950,4693,0.33437056945974064,109.86080930538179,2.52784595481202e-48,6.758138233150325e-07,True
apolipoprotein_a_g_L_log,log(Apolipoprotein A),1,"Plant-based, Ultra-processed",0.028119243027433717,0.003195612304519771,8.799328688171205,1.60549827296336e-18,9950,2770,0.337645253402889,109.86080930538179,2.52784595481202e-48,2.889896891334048e-17,True
apolipoprotein_a_g_L_log,log(Apolipoprotein A),2,"Plant-based, Minimally-processed",-0.009271635958106933,0.0032393708887412482,-2.862171784753458,0.004216284195550189,9950,2487,0.33303177131060013,109.86080930538179,2.52784595481202e-48,0.010841873645700485,True
apolipoprotein_b_g_L,Apolipoprotein B,0,"Plant-based, Minimally-processed",-0.00787933723127185,0.0038151595588645955,-2.065270694370845,0.038920863512154895,10973,5190,0.268292804859799,33.66494169648991,2.450614569534105e-15,0.07005755432187881,False
apolipoprotein_b_g_L,Apolipoprotein B,1,"Plant-based, Ultra-processed",0.004759710512357414,0.004271169517735097,1.114381082884619,0.26514018275707385,10973,3061,0.2680908820510868,33.66494169648991,2.450614569534105e-15,0.3671171761251792,False
apolipoprotein_b_g_L,Apolipoprotein B,2,"Plant-based, Minimally-processed",0.005253781211835534,0.0043295098291831775,1.2134817610119004,0.22497184578899207,10973,2722,0.26810629268194786,33.66494169648991,2.450614569534105e-15,0.33745776868348815,False
