lipid,beta_per_pct,p_value,conf_low,conf_high,n
triglycerides_mmol_L_log,6.312780413822672e-05,0.8830305247295641,-0.0007778979993755247,0.0009041536076519782,11044
total_cholesterol_mmol_L,-0.0013315653135696672,0.13210882317664369,-0.0030647621274388693,0.0004016315002995348,11040
hdl_cholesterol_mmol_L_log,0.0007507098673600115,9.564561651005675e-05,0.0003736777769275183,0.0011277419577925048,10018
ldl_cholesterol_mmol_L,-0.002195664884269428,0.0010848415808039646,-0.0035124805224992393,-0.0008788492460396168,11025
apolipoprotein_a_g_L_log,0.0005847770681127212,2.628876213165762e-05,0.000312204421844506,0.0008573497143809363,9950
apolipoprotein_b_g_L,-0.0005035449059959676,0.006793391298254951,-0.000868126380306247,-0.00013896343168568815,10973
