,0
4826,1
4827,0
4841,0
4849,0
4852,2
4861,2
4868,2
4869,2
4880,0
4887,2
4900,2
4904,0
4916,1
4928,2
4930,2
4940,0
4944,2
4948,2
4950,0
4951,2
4952,2
4957,0
4969,0
4970,1
4979,2
4980,1
4996,1
4998,1
5005,0
5031,0
5033,0
5038,1
5049,1
5053,2
5065,1
5067,0
5076,0
5077,0
5095,0
5096,1
5101,0
5104,2
5112,0
5113,0
5119,0
5132,2
5138,2
5151,0
5160,0
5164,0
5166,1
5172,0
5173,1
5177,0
5179,0
5183,0
5194,0
5209,0
5217,0
5220,0
5225,0
5227,1
5230,0
5232,0
5233,2
5236,0
5251,2
5254,2
5258,2
5262,0
5266,0
5279,1
5293,2
5297,0
5307,2
5311,2
5312,1
5317,2
5319,0
5329,0
5331,2
5344,1
5359,1
5366,0
5368,0
5381,2
5383,2
5390,0
5391,0
5411,0
5417,0
5418,0
5420,0
5423,0
5424,2
5429,0
5431,2
5438,0
5442,2
5445,2
5447,2
5449,0
5453,0
5455,0
5483,2
5486,1
5487,0
5494,2
5504,1
5518,2
5529,1
5531,1
5536,1
5544,0
5547,0
5556,2
5558,0
5562,0
5568,0
5570,0
5572,2
5592,0
5596,2
5604,0
5605,1
5613,1
5635,0
5638,0
5639,0
5640,0
5641,0
5655,0
5666,0
5667,2
5682,1
5690,0
5697,1
5720,1
5725,1
5727,1
5735,0
5738,1
5756,0
5760,0
5763,0
5778,0
5784,0
5793,0
5799,1
5808,0
5822,1
5833,0
5837,0
5838,2
5860,0
5866,2
5867,0
5869,1
5870,0
5875,2
5894,1
5898,2
5914,1
5919,1
5925,1
5927,0
5930,1
5941,1
5942,0
5945,2
5950,0
5967,2
5977,2
5983,0
5987,0
5988,0
5990,0
5996,1
5999,2
6006,2
6025,0
6029,0
6041,1
6047,1
6048,2
6049,0
6057,0
6059,0
6060,2
6062,1
6064,1
6071,1
6076,0
6096,0
6104,0
6109,2
6110,0
6114,0
6130,1
6134,2
6148,0
6149,0
6151,0
6178,1
6193,1
6205,1
6206,0
6211,0
6230,1
6241,0
6244,0
6253,2
6256,0
6258,1
6272,2
6279,0
6287,1
6295,0
6296,1
6310,0
6323,0
6327,0
6343,0
6346,1
6347,2
6357,0
6362,1
6363,0
6374,1
6386,1
6387,1
6396,0
6401,1
6407,0
6412,1
6417,1
6426,2
6429,0
6432,2
6434,1
6442,1
6451,0
6452,1
6462,2
6495,1
6497,1
6501,0
6532,2
6538,0
6564,0
6565,1
6568,0
6579,1
6582,2
6588,1
6590,0
6591,1
6592,2
6600,1
6604,0
6607,0
6613,0
6626,0
6638,0
6650,2
6668,0
6692,0
6697,2
6711,1
6716,0
6719,2
6722,0
6731,2
6734,0
6743,0
6760,1
6773,0
6778,0
6784,1
6785,2
6801,1
6803,1
6806,0
6811,2
6812,0
6817,0
6819,0
6828,2
6830,0
6833,2
6835,0
6847,0
6850,2
6872,0
6880,0
6883,1
6891,2
6893,1
6907,2
6909,1
6916,1
6917,1
6926,1
6941,0
6950,0
6951,0
6955,0
6964,0
6981,1
7038,1
7045,2
7049,0
7051,0
7055,1
7057,0
7069,1
7083,2
7099,0
7101,1
7123,0
7144,0
7149,1
7151,1
7152,1
7154,1
7163,0
7165,0
7169,0
7176,2
7177,0
7187,1
7196,2
7202,0
7205,2
7210,0
7229,0
7230,2
7233,0
7234,1
7243,1
7249,1
7263,0
7267,1
7270,0
7271,0
7274,2
7289,2
7302,2
7308,1
7317,2
7321,0
7323,0
7340,0
7341,0
7354,1
7371,1
7372,0
7380,1
7385,0
7387,2
7389,1
7390,0
7391,0
7393,1
7396,1
7399,2
7402,0
7413,0
7415,1
7418,2
7421,0
7426,2
7429,0
7435,0
7437,0
7445,2
7446,0
7448,2
7462,2
7466,2
7467,1
7501,1
7506,1
7508,1
7516,0
7518,0
7519,0
7530,0
7538,2
7542,0
7544,1
7554,2
7560,2
7564,0
7566,1
7571,0
7578,0
7580,2
7588,1
7594,1
7597,2
7598,2
7615,2
7616,0
7618,1
7623,0
7632,1
7648,2
7649,0
7656,1
7659,0
7675,0
7682,0
7686,0
7695,0
7704,2
7707,1
7712,1
7716,0
7730,2
7759,2
7761,0
7766,0
7769,2
7783,1
7785,0
7791,0
7809,2
7824,0
7829,2
7830,0
7832,2
7848,0
7852,1
7854,0
7855,1
7860,0
7868,2
7872,0
7875,0
7884,0
7891,1
7892,0
7896,1
7900,1
7912,2
7931,0
7932,2
7933,0
7937,2
7943,0
7953,0
7960,1
7962,0
7966,0
7968,0
7976,0
7978,2
7979,2
7983,0
7987,0
7988,1
7997,2
8007,0
8023,0
8025,1
8033,1
8037,0
8038,2
8054,0
8060,2
8068,2
8070,2
8074,0
8078,0
8079,0
8103,0
8106,1
8112,1
8120,1
8123,0
8127,0
8128,1
8134,0
8139,1
8140,2
8145,2
8148,1
8170,0
8182,2
8190,1
8193,1
8194,1
8202,1
8205,1
8212,1
8219,1
8226,0
8240,1
8245,0
8246,1
8260,1
8261,0
8264,0
8268,2
8271,1
8273,1
8275,0
8278,1
8292,0
8295,2
8300,0
8302,1
8328,1
8345,0
8358,1
8360,1
8367,0
8381,1
8395,2
8398,1
8401,0
8408,1
8411,2
8414,2
8418,1
8422,2
8430,0
8434,0
8441,2
8445,1
8447,0
8454,2
8456,1
8480,2
8492,2
8494,0
8502,2
8504,2
8511,0
8513,2
8522,1
8529,0
8531,1
8542,2
8544,1
8545,2
8547,2
8552,1
8553,2
8554,0
8572,0
8574,0
8579,1
8589,0
8591,2
8619,2
8637,0
8640,1
8654,0
8657,0
8658,1
8663,0
8670,0
8675,1
8685,0
8686,0
8695,0
8703,0
8740,1
8754,1
8761,2
8769,0
8772,2
8778,1
8792,1
8796,0
8802,2
8811,0
8812,0
8819,1
8839,0
8849,0
8850,1
8853,2
8867,2
8879,0
8882,0
8888,0
8891,2
8893,0
8904,1
8908,0
8924,1
8938,0
8939,1
8947,0
8948,0
8949,0
8951,1
8958,0
8960,1
8961,0
8966,1
8969,0
8971,1
8976,0
9002,1
9004,2
9015,0
9037,0
9044,0
9080,0
9087,0
9097,1
9100,2
9129,0
9131,0
9147,1
9168,1
9171,1
9175,1
9180,2
9183,0
9188,2
9204,1
9212,1
9217,2
9220,0
9226,2
9254,0
9255,0
9261,0
9268,1
9272,2
9281,0
9288,1
9296,1
9304,1
9306,0
9324,2
9329,2
9338,0
9343,0
9361,2
9378,0
9379,2
9381,0
9395,2
9398,2
9417,0
9422,1
9428,1
9435,0
