lipid,quantile,beta,p_value,conf_low,conf_high
triglycerides_mmol_L_log,Q2,0.04238282943870833,0.023775340627561373,0.005639810070986316,0.07912584880643034
triglycerides_mmol_L_log,Q3,0.022759800743938317,0.22977928862180316,-0.014387166817047228,0.05990676830492386
triglycerides_mmol_L_log,Q4,0.024904022439485623,0.18229809382365034,-0.011695523149061523,0.061503568028032765
triglycerides_mmol_L_log,Q5,0.034977162565459886,0.060258882266895845,-0.001509430116673087,0.07146375524759285
triglycerides_mmol_L_log,Q6,0.03805776662864406,0.04223975346540254,0.0013340578115245902,0.07478147544576352
triglycerides_mmol_L_log,Q7,0.04326175410369108,0.021449780900043975,0.006396663375397668,0.0801268448319845
triglycerides_mmol_L_log,Q8,0.023829385634898136,0.20275303543479276,-0.012839657285144288,0.06049842855494056
triglycerides_mmol_L_log,Q9,0.01240362488450145,0.4993876982764873,-0.02359074977142137,0.04839799954042427
triglycerides_mmol_L_log,Q10,0.006525557253158487,0.7134911388914174,-0.028310847451136475,0.04136196195745345
triglycerides_mmol_L_log,P_trend,,0.7831966827369413,,
total_cholesterol_mmol_L,Q2,0.018886248227126617,0.6245762648009094,-0.05676002831680291,0.09453252477105614
total_cholesterol_mmol_L,Q3,0.10822507868601605,0.005534924350347342,0.031769196232823774,0.18468096113920834
total_cholesterol_mmol_L,Q4,0.0142550258833469,0.7106920344786507,-0.061074350684406156,0.08958440245109996
total_cholesterol_mmol_L,Q5,0.02717541087235599,0.4781327414767724,-0.047921426503624395,0.10227224824833638
total_cholesterol_mmol_L,Q6,0.039680397025852465,0.3034766437974657,-0.03590422316718127,0.1152650172188862
total_cholesterol_mmol_L,Q7,0.061721629640406256,0.1108495838849779,-0.014154432955092444,0.13759769223590496
total_cholesterol_mmol_L,Q8,-0.014347178726252838,0.7095024863915338,-0.08983839760331451,0.061144040150808834
total_cholesterol_mmol_L,Q9,0.01898918755574644,0.6154496923457964,-0.05511082817653838,0.09308920328803126
total_cholesterol_mmol_L,Q10,-0.057397182604390445,0.11664750976034603,-0.12909877725729596,0.01430441204851507
total_cholesterol_mmol_L,P_trend,,0.05510741614736572,,
hdl_cholesterol_mmol_L_log,Q2,-0.007049558882570954,0.4009527914015557,-0.023501069148674423,0.009401951383532513
hdl_cholesterol_mmol_L_log,Q3,0.014801043269305106,0.08188249433250082,-0.0018727106680936807,0.03147479720670389
hdl_cholesterol_mmol_L_log,Q4,0.0011102128907787274,0.8944868493146196,-0.015297862177546775,0.01751828795910423
hdl_cholesterol_mmol_L_log,Q5,-0.0005865681097567896,0.9439364269859074,-0.016936264042016005,0.015763127822502426
hdl_cholesterol_mmol_L_log,Q6,0.0008013896524495064,0.9241394076350138,-0.01569547472149586,0.017298254026394875
hdl_cholesterol_mmol_L_log,Q7,0.016423247807198733,0.05110413876193878,-7.881987066206755e-05,0.03292531548505953
hdl_cholesterol_mmol_L_log,Q8,0.007464132033024854,0.3745038108105566,-0.009010435638234096,0.023938699704283806
