lipid,quantile,beta,p_value,conf_low,conf_high
triglycerides_mmol_L_log,Q2,0.005123186589392152,0.7072333647593272,-0.021614805703147916,0.03186117888193222
triglycerides_mmol_L_log,Q3,0.017724319462419452,0.19076723891689604,-0.008829503329784757,0.04427814225462366
triglycerides_mmol_L_log,Q4,0.014643418147674699,0.28180583913983526,-0.012024869698421333,0.04131170599377073
triglycerides_mmol_L_log,Q5,-0.009452693593445952,0.4711100714221693,-0.03516242271691127,0.01625703553001937
triglycerides_mmol_L_log,P_trend,,0.7045942924570139,,
total_cholesterol_mmol_L,Q2,0.051524246386771555,0.06659086808972708,-0.003526647072922093,0.1065751398464652
total_cholesterol_mmol_L,Q3,0.024914806080728113,0.3717215180606753,-0.029756688149337043,0.07958630031079326
total_cholesterol_mmol_L,Q4,0.014743997671152434,0.5986928722062803,-0.040169694784203964,0.06965769012650883
total_cholesterol_mmol_L,Q5,-0.02975127236966775,0.27065727801445255,-0.08269021302189802,0.02318766828256253
total_cholesterol_mmol_L,P_trend,,0.1210721652862493,,
hdl_cholesterol_mmol_L_log,Q2,0.010880962784122818,0.07537449205906098,-0.0011125766211703813,0.022874502189416016
hdl_cholesterol_mmol_L_log,Q3,0.003232540593091171,0.594894606784791,-0.008683112955237257,0.015148194141419598
hdl_cholesterol_mmol_L_log,Q4,0.01504875679864394,0.013691232850244345,0.003085181419463179,0.027012332177824703
hdl_cholesterol_mmol_L_log,Q5,0.027514289855274775,2.9749868913829587e-06,0.01597821676834819,0.039050362942201364
hdl_cholesterol_mmol_L_log,P_trend,,6.245667471778221e-06,,
ldl_cholesterol_mmol_L,Q2,0.018331464467325274,0.3904543245146326,-0.023508086276846855,0.060171015211497404
ldl_cholesterol_mmol_L,Q3,0.013545507661466725,0.5230302352682976,-0.02802573530488133,0.055116750627814785
ldl_cholesterol_mmol_L,Q4,-0.013106649510264407,0.5384305939439178,-0.054867190513925884,0.028653891493397074
ldl_cholesterol_mmol_L,Q5,-0.06576721473647411,0.0013578761232777856,-0.10599953494370415,-0.02553489452924406
ldl_cholesterol_mmol_L,P_trend,,0.0004240899827917741,,
apolipoprotein_a_g_L_log,Q2,0.011067903377042537,0.012349397476803541,0.002398290220100234,0.01973751653398484
apolipoprotein_a_g_L_log,Q3,0.00442065316865298,0.3143733893922447,-0.0041918548381611855,0.013033161175467146
apolipoprotein_a_g_L_log,Q4,0.01458606200904971,0.0009474009846977323,0.0059394602868298365,0.02323266373126958
apolipoprotein_a_g_L_log,Q5,0.021306943176477165,5.69816660419759e-07,0.012961189972944286,0.029652696380010043
apolipoprotein_a_g_L_log,P_trend,,1.1780453811413854e-06,,
apolipoprotein_b_g_L,Q2,0.005655619284746598,0.3387099475083698,-0.005931450609827965,0.01724268917932116
apolipoprotein_b_g_L,Q3,0.004387703142357211,0.45460877406897593,-0.007113925411380773,0.015889331696095195
apolipoprotein_b_g_L,Q4,-0.0043774955903055435,0.4573574610791339,-0.015922595167822316,0.00716760398721123
apolipoprotein_b_g_L,Q5,-0.01390186078844721,0.014497249865570109,-0.025046710246974024,-0.0027570113299203967
apolipoprotein_b_g_L,P_trend,,0.0034665573799071703,,
